id,url,title,company_name,company_url,time_update,time_expire,salary,exp,job_level,group_job,job_type,benefit,job_des,job_req,city,address,web
careerlink0,https://www.careerlink.vn//tim-viec-lam/nhan-ke-toan-tong-hop-kiem-ke-toan-thue/2990502?source=site,Nhân Kế Toán Tổng Hợp Kiêm Kế Toán Thuế,Công Ty Cổ Phần Đầu Tư Thương Mại EVE,https://www.careerlink.vn//viec-lam-cua/cong-ty-co-phan-dau-tu-thuong-mai-eve/232901,2024-11-06 12:11:09.530,2024-11-21 12:11:09.530,620.00,2,Nhân viên,Bán hàng / Kinh doanh,"Bán hàng / Kinh doanh, Vận chuyển / Giao thông / Kho bãi",1 l?n/1 nam,"-, - Thu th?p ch?ng t?, hóa don GTGT d?u ra, d?u vào, ki?m tra và d?m b?o tính pháp lý, h?p lý, chính xác c?a ch?ng t? và h?ch toán., - Theo dõi, cân d?i thu? GTGT d?u ra, d?u vào hàng tháng, hàng quý, cân d?i doanh thu chi phí., - X? lý l?p h?p d?ng giao d?ch cho thuê xe, và mua bán khi có phát sinh, - L?p s? sách, luu tr? ch?ng t?, - Báo cáo thu? d?nh k?, báo cáo tài chính:, + Hàng tháng: L?p báo cáo t?ng h?p thu? GTGT d?u ra c?a công ty và phân lo?i theo thu? su?t. L?p báo cáo t?ng h?p thu? GTGT d?u vào c?a công ty theo t? l? phân b? d?u ra du?c kh?u tr?. Ðóng ch?ng t? báo cáo thu? toàn công ty., + Hàng quý: Làm báo cáo thu? GTGT, TNDN, TNCN, Thuê Tài S?n…., + Cu?i nam: L?p báo cáo tài chính, T? khai Quy?t toán thu? TNDN, TNCN…, + Ð? xu?t n?p ti?n thu? cho co quan thu? (n?u có), - Theo dõi d?i chi?u công n?, giao d?ch ngân hàng., - Tr?c ti?p làm vi?c v?i Co quan thu? khi có phát sinh, - Theo dõi tình hình n?p ngân sách, t?n d?ng ngân sách và hoàn thu? c?a công ty. L?p h? so hoàn thu? khi có phát sinh., - L?p báo cáo t?ng h?p thu? theo d?nh k? ho?c d?t xu?t., - C?p nh?t k?p th?i các thông tin, chính sách m?i v? lu?t thu? liên quan d?n ho?t d?ng s?n xu?t kinh doanh c?a công ty., - Ð? xu?t hu?ng x? lý các tru?ng h?p hóa don c?n di?u ch?nh, ho?c h?y theo quy d?nh c?a Lu?t Thu? hi?n hành., - Cung c?p h? so, ch?ng t? Thu? theo Yêu c?u c?a K? toán d?ch v? (n?u có), - Làm vi?c các b? ph?n v? h? so thanh toán, d?m b?o theo dúng quy trình, h? so h?p lý, h?p l?., - Ki?m tra h? so, ch?ng t? dã du?c h?ch toán chính xác trên ph?n m?m tru?c khi trình ký KTT. Ð?m b?o h?ch toán t?t c? bút toán theo t?ng nghi?p v? phát sinh, tuân th? theo nguyên t?c h?ch toán k? toán., - Theo dõi d? xu?t chi phí phí du?c duy?t, d?m b?o h? so thanh toán không du?c vu?t ngân sách., - T?ng k? các chi phí phát sinh hàng tháng theo dúng kho?n m?c chi phí., - Ðua ra hu?ng x? lý cung nhu hu?ng d?n cho nhân viên th?c hi?n công vi?c theo quy trình dã ban hành., - Theo dõi, ki?m soát, duy?t s? li?u công n? ph?i thu, ph?i tr?., - Ki?m tra báo cáo qu? (Thu/chi) hàng ngày., - Theo dõi, ki?m soát don hàng, doanh thu, s? ti?n m?t, ti?n g?i ngân hàng d?u kì, phát sinh trong kì và cu?i kì., - Ki?m tra t?t c? các nghi?p v?, báo cáo c?a Admin, k? toán viên: Báo cáo doanh s?, doanh thu, công n? ph?i thu, công n? ph?i tr?. T? dó l?p báo cáo t?ng h?p cho KTT/BOD hàng tu?n, hàng tháng, hàng quý., - T?p h?p t?t c? các kho?n d? chi, k? ho?ch thu d? lên d? báo dòng ti?n vào th? 2 hàng tu?n., - T?ng h?p, theo dõi H?p d?ng mua vào bán ra, và báo cáo hàng tu?n cho GÐ, - Ki?m tra d?i soát doanh thu và các kho?n d? xu?t Chi phí h? tr?, chi?t kh?u …., - Báo d?ng và dua ra các hu?ng x? lý khi x?y ra v?n d? liên quan d?n Công n?, doanh s?, chi?t kh?u, h? so thanh toán…., - Tính luong, thu?ng, KPI và các kho?n trích theo luong cho nhân viên., - Ki?m tra b?ng tính thu?ng các Chuong trình bán hàng theo tháng/ quý/ nam., - T?ng h?p s? li?u, h?ch toán chi phí qu?n lí, chi phí khác., - Báo cáo tu?n v? % th?c d?t v? Công n?, doanh s?, doanh thu, - Ph?i h?p ki?m soát ti?n hàng, ch?ng t? mua hàng, nh?p kho và d?i chi?u s? li?u v?i Giám sát Kho., - Lên k? ho?ch d?t hàng can c? vào k? ho?ch bán hàng Phòng kinh doanh dang ký và t?n kho dang có và s? lu?ng t?i thi?u ph?i d?t theo yêu c?u NCC., - Làm vi?c v?i NCC v? công n?, giao hàng (n?u có), - Theo dõi tài s?n c? d?nh, h?ch toán kh?u hao tài s?n c? d?nh, phân b? công c? d?ng c? và các nghi?p v? k? toán khác., -, Rà soát l?i t?t c? tài kho?n phát sinh trên b?ng Cân d?i s? phát sinh nhu h?ch toán, kho?n m?c chi phí, mã th?ng kê…., d?m b?o s? chi ti?t kh?p s? t?ng h?p., - Ð?nh k? ph?i h?p ki?m kê t?n kho, l?p biên b?n ki?m kê và x? lý s? li?u ki?m kê trên h? th?ng., - Luu tr? ch?ng t?, s? sách theo niên d? th?i gian., - X? lý các tình hu?ng phát sinh khác theo s? phân công c?a KTT., - Các công vi?c phát theo s? phân công c?a KTT.","- S? nam kinh nghi?m: 02-03 nam trong linh v?c K? toán., - Trình d? h?c v?n: Cao d?ng/ Ð?i h?c., - Ngo?i ng?, vi tính: Thu?n th?c s? d?ng office van phòng (excel, word, outlook), - K? nang chuyên môn: Thu?n th?c., - K? nang t?ng quát: C?n th?n, Cham ch?, Truy?n d?t và khéo léo trong giao ti?p.- G?i các báo cáo n?i b? d?nh k?, báo cáo th?ng kê…, - S? d?ng máy vi tính thành th?o: ph?n m?m k? toán…, - C?n th?n, trung th?c, trách nhi?m v?i công vi?c., - Co´ ti´nh quyê´t doa´n, co´ ky~ nang ra quyê´t di?nh., - Sa~n sa`ng la`m viê?c trong môi truo`ng a´p lu?c công viê?c cao",Hồ Chí Minh,"Qu?n 10,",CareerLink
careerlink1,https://www.careerlink.vn//tim-viec-lam/chuyen-vien-phat-trien-mang-luoi-chuoi-cua-hang-winmart/2989913?source=site,Chuyên Viên Phát Triển Mạng Lưới Chuỗi Cửa Hàng WinMart+,CÔNG TY CỔ PHẦN DỊCH VỤ THƯƠNG MẠI TỔNG HỢP WINCOMMERCE,https://www.careerlink.vn//viec-lam-cua/cong-ty-co-phan-dich-vu-thuong-mai-tong-hop-wincommerce/372223,2024-11-06 12:11:10.420,2024-12-07 12:11:10.420,500.00,1,Nhân viên,Bất động sản,Bất động sản,"Thu?ng tháng 13. Thu?ng KPIs theo m?t b?ng m? m?i. Ðu?c hu?ng các ch? d? B?o hi?m b?t bu?c: B?o hi?m Y t?, B?o hi?m Xã h?i, B?o hi?m Th?t nghi?p. Gói cham sóc s?c kh?e B?o Vi?t. 12 ngày ngh? phép/nam","- Tri?n khai tìm ki?m m?t b?ng theo quy ho?ch dã du?c phân công d?a trên co s? quy ho?ch m? m?i và các tiêu chu?n m?t b?ng (t?i khu v?c Nam Ð?nh, Thái Bình), - Ðàm phán giá thuê d?a trên khung giá và các di?u ki?n thuong m?i, di?u ki?n pháp lý phù h?p v?i Chu?i c?a hàng WinMart+, nh?m m?c dích l?a ch?n du?c m?t b?ng t?t nh?t so v?i b? tiêu chí m?t b?ng c?a Công ty., - Ph?i h?p v?i Chuyên viên h? tr? d? th?c hi?n ký k?t và hoàn thi?n h?p d?ng thuê; d? l?p k? ho?ch bàn giao m?t b?ng chi ti?t gi?a bên cho thuê và Phòng Set up, Phòng Xây d?ng và d? làm các th? t?c c?c, thanh toán k? d?u c?a h?p d?ng thuê., - Bàn giao các h? so và ch?ng t? sau khi hoàn ch?nh h?p d?ng g?m: H?p d?ng thuê m?t b?ng, Biên b?n bàn giao m?t b?ng, H? so pháp lý c?a bên cho thuê., - Th?c hi?n gi?i quy?t các v?n d? phát sinh theo h?p d?ng tru?c và sau khi khai truong c?a hàng., - Gi? liên h? v?i t?t c? các bên cho thuê, d?m b?o th?c hi?n t?t các di?u ki?n ph?i h?p gi?a WinMart+ và bên cho thuê., - Th?c hi?n các công vi?c phát sinh theo phân công c?a C?p trên","- T?t nghi?p t? Trung c?p tr? lên, - Có kinh nghi?m trong linh v?c tìm ki?m và thuê m?t b?ng trong ngành bán l?, FMCGs., - Am hi?u th? tru?ng b?t d?ng s?n, d?c bi?t là m?ng cho thuê, tr?c ti?p tìm ki?m m?t b?ng cho khách thuê kinh doanh., - S?c kh?e t?t, ch?p nh?n di công tác xa., - K? nang giao ti?p và thuong lu?ng dàm phán t?t.",NULL,Not Show,CareerLink
careerlink10,https://www.careerlink.vn//tim-viec-lam/truong-phong-kinh-doanh-online-san-tmdt/2975430?source=site,Trưởng Phòng Kinh Doanh Online - sàn TMĐT,Công Ty TNHH PHD,https://www.careerlink.vn//viec-lam-cua/cong-ty-tnhh-phd/89408,2024-11-06 12:11:21.497,2024-11-23 12:11:21.497,0.00,2,Quản lý / Trưởng phòng,Bán hàng / Kinh doanh,"Bán hàng / Kinh doanh, Bán lẻ / Bán sỉ, Thời trang","Luong th?a thu?n và ch? d? dãi ng? h?p d?n theo nang l?c. Môi tru?ng làm vi?c dân ch?, hi?n d?i, chuyên nghi?p, có co h?i thang ti?n và ?n d?nh lâu dài.. Ðu?c dóng BHXH, BHYT, BH th?t nghi?p theo quy d?nh c?a nhà nu?c.. Ðu?c hu?ng ch? d? cham sóc s?c kh?e toàn di?n. Ðu?c hu?ng các quy?n l?i khác theo chính sách c?a công ty. Thu nh?p h?p d?n, c?nh tranh tùy thu?c vào kh? nang chuyên môn. Th?a thu?n x?ng dáng v?i nang l?c và c?nh tranh trên th? tru?ng. Du l?ch teambuilding hàng nam và các chuong trình phúc l?i h?p d?n theo quy d?nh c?a Công ty. Ðu?c tham gia các chuong trình dào t?o c?a Công ty.",,,NULL,Not Show,CareerLink
careerlink11,https://www.careerlink.vn//tim-viec-lam/leasing-specialist-chuyen-gia-kinh-doanh-cho-thue-van-phong/2990257?source=site,LEASING SPECIALIST / Chuyên Gia Kinh Doanh Cho Thuê Văn Phòng,CÔNG TY CỔ PHẦN DỊCH VỤ VÀ ĐẦU TƯ MỘT CỬA QUỐC GIA,https://www.careerlink.vn//viec-lam-cua/cong-ty-co-phan-dich-vu-va-dau-tu-mot-cua-quoc-gia/224573,2024-11-06 12:11:22.717,2024-12-07 12:11:22.717,0.00,1,Nhân viên,Tư vấn,"Tư vấn, Bất động sản, Bán hàng / Kinh doanh",,"- Tìm ki?m khách hàng gi?i thi?u cho thuê can h? dich v?/ van phòng; Ch? d?ng trong vi?c tang doanh thu cho thuê., - Tìm ki?m, phát tri?n, và làm vi?c v?i các d?i lý m?t cách hi?u qu? d? cho thuê s?n ph?m., - Thuong lu?ng và dàm phán H?p d?ng thuê theo chính sách thuê du?c phê duy?t, - H? tr? khách hàng trong quá trình thuê can h? d?ch v?/van phòng., - Duy trì các m?i quan h? khách hàng hi?n có, d?ng th?i xây d?ng k? ho?ch tìm ki?m và m? r?ng m?ng lu?i khách hàng ti?m nang. S? d?ng các kênh giao ti?p khác nhau, bao g?m email, di?n tho?i, và m?ng xã h?i d? ti?p c?n và xây d?ng m?i quan h? v?i khách hàng, d?i tác., - Phát tri?n các ý tu?ng, phuong án kinh doanh và cham sóc khách hàng., - T?o co s? d? li?u khách hàng, c?p nh?t và luu tr?., - Cham sóc & gi?i quy?t các yêu c?u c?a khách hàng; c?i thi?n và nâng cao ch?t lu?ng ph?c v? nh?m gia tang s? hài lòng c?a khách hàng, d?ng th?i duy trì và nâng cao t? l? khai thác cho thuê., - Báo cáo công vi?c hàng tu?n, hàng tháng., - Nh?ng công vi?c khác theo s? phân công c?a qu?n lý tr?c ti?p., - Ðu?c dóng BHXH, BHYT, BHTN và hu?ng d?y d? các ch? d? c?a Lu?t Lao d?ng, các chính sách, phúc l?i tham h?i ?m dau, sinh nh?t, k? ni?m ngày cu?i, hi?u h?; các d?p l?; ngh? l? t?t., - Môi tru?ng làm vi?c t? Lãnh d?o d?n nhân viên d?u r?t tr? trung, nang d?ng và công b?ng., - Co h?i phát tri?n s? nghi?p b?n v?ng và d? cao các giá tr? Van hóa doanh nghi?p., - Ngh? l? theo quy d?nh nhà nu?c, - Ðu?c thu?ng doanh s? d?a trên doanh thu mang v? cho công ty.","- Ngo?i ng?: Ti?ng anh ho?c ti?ng trung, - T?t nghi?p Ð?i h?c, Cao d?ng chuyên ngành b?t k?., - Kinh nghi?m: 1 kinh nghi?m (Uu tiên dã t?ng làm qua linh v?c cho thuê can h?/tòa nhà/van phòng/ du l?ch/ khách s?n), - Kh? nang giao ti?p t?t, t? tin khi giao ti?p v?i khách hàng., - S? d?ng thành th?o tin h?c van phòng: Word, Excel, …, - Có ki?n th?c co b?n v? marketing, social media..., - Nang d?ng, nhi?t tình, t?n tâm, ch? d?ng, dam mê công vi?c và có m?c tiêu rõ ràng., - K? nang phân tích và gi?i quy?t v?n d? t?t; Thuong th?o, gi?i quy?t tình hu?ng v?i Khách hàng., - Có kh? nang vi?t bài dang tin qu?ng cáo cho thuê trên Fanpage m?ng xã h?i, qu?n lý dang bài trên website; Kh? nang thuy?t ph?c cao., - Không ng?i di l?i; Tinh th?n hu?ng d?n m?c tiêu, t?p trung vào vi?c d?t và vu?t ch? tiêu.",Bình Dương,"Thành Ph? Thu?n An,",CareerLink
careerlink12,https://www.careerlink.vn//tim-viec-lam/nhan-vien-ke-toan-gia-thanh/2964020?source=site,Nhân Viên Kế Toán Giá Thành,Công Ty TNHH PHD,https://www.careerlink.vn//viec-lam-cua/cong-ty-tnhh-phd/89408,2024-11-06 12:11:24.010,2024-11-11 12:11:24.010,0.00,2,Nhân viên,Kế toán / Kiểm toán,"Kế toán / Kiểm toán, Sản xuất / Vận hành sản xuất","Ðu?c di du l?ch 1 l?n trong nam. . Quà chúc m?ng sinh nh?t. . . Ðu?c hu?ng ch? d? BHYT, BHXH, BHTN theo quy d?nh. . . . . . . Chuong trình team building d? k?t n?i d?ng nghi?p. Có co h?i du?c dào t?o. Môi tru?ng làm vi?c hòa d?ng, thân thi?n","- Ki?m tra Biên b?n h?y, PXK hàng h?y (NVL tr?n, bán thành ph?m t?ng công do?n, thành ph?m t?i xu?ng SX, Thành ph?m h?y h?ng tru?c HSD...hàng ngày., - Theo dõi ki?m soát chi ti?t quá trình nh?p - xu?t – h?y nguyên li?u cung nhu thành ph?m h?ng ngày gi?a ch?ng t? và h? th?ng ERP, - Tính toán giá thành k? ho?ch c?a s?n ph?m d?a trên d?nh m?c và ngân sách chi phí du?c duy?t, - Ki?m tra và t?p h?p chi phí th?c t? phát sinh d? tính giá thành th?c t? s?n ph?m, - Ki?m soát và phân tích chênh l?ch giá thành th?c t? so v?i d?nh m?c (BOM), - L?p báo cáo giá thành th?c t? v?i giá thành k? ho?ch (dã du?c d? ki?n tru?c dó)., - Ki?m soát vi?c tiêu hao nguyên v?t li?u, d?m b?o theo d?nh m?c quy d?nh., - Ph?i h?p v?i các bên liên quan d? ki?m tra, ki?m kê hàng t?n kho d?nh k?, d?t xu?t, - Báo cáo giá thành: giá thành theo don hàng, theo s?n ph?m; b?ng chi phí giá thành, - Ki?m soát v? d?nh lu?ng Nguyên v?t li?u: Thành ph?m, bán thành ph?m, - Ðánh giá kh?i lu?ng nguyên li?u còn th?a, d? dang m?t cách khoa h?c, làm co s? d? h?ch toán giá thành s?n xu?t trong m?t k? d?y d? và chính xác., - L?p b?ng t?ng h?p, phân tích hi?u qu? c?a ho?t d?ng s?n xu?t theo t?ng don hàng dã du?c s?n xu?t và bán ra.","- T?t nghi?p Ð?i h?c chuyên ngành K? Toán, - Ít nh?t 02 nam kinh nghi?m ? v? trí tuong duong, K? toán t?ng h?p, - Có kinh nghi?m tính giá thành trong linh v?c F&B, d?ch v? nhà hàng, khách s?n, Công ty S?n xu?t, - S? d?ng ERP, Microsoft Ofice Word/excel thành th?o, - Kh? nang phân tích t?ng h?p h?p, vi?t báo cáo., - Trung th?c, c?n th?n, có trách nhi?m v?i công vi?c.",Hà Nội,"Qu?n Tây H?,",CareerLink
careerlink13,https://www.careerlink.vn//tim-viec-lam/urgent-nhan-vien-phu-bep/2990288?source=site,Urgent - Nhân Viên Phụ Bếp,ADAMO HOTEL YÊN MỸ,https://www.careerlink.vn//viec-lam-cua/adamo-hotel-yen-my/377180,2024-11-06 12:11:25.053,2024-12-07 12:11:25.053,0.00,0,Nhân viên,Nhà hàng / Dịch vụ ăn uống,"Nhà hàng / Dịch vụ ăn uống, Khách sạn",,"- Chu?n b? d?y d? nguyên li?u, d?ng c? và gia v? cho vi?c ch? bi?n món an., - H? tr? b?p chính trong vi?c ch? bi?n món an., - Chi ti?t công vi?c trao d?i c? th? khi ph?ng v?n.","- Uu tiên ?ng viên có kinh nghi?m ? v? trí tuong duong., - Chi ti?t yêu c?u du?c trao d?i khi d?n ph?ng v?n tr?c ti?p.",Hưng Yên,"Huy?n Yên M?,",CareerLink
careerlink14,https://www.careerlink.vn//tim-viec-lam/nhan-vien-kinh-doanh-tai-tt-duc-hoa/2974006?source=site,Nhân Viên Kinh Doanh tại TT Đức Hòa,FPT Telecom,https://www.careerlink.vn//viec-lam-cua/fpt-telecom/14340,2024-11-06 12:11:26.397,2024-11-22 12:11:26.397,800.00,0,Nhân viên,Bán hàng / Kinh doanh,Bán hàng / Kinh doanh,"Ðu?c dào t?o thu?ng xuyên các k? nang, nghi?p v?. M?i tru?ng làm vi?c thân thi?n. Thu nh?p h?p d?n, co h?i thang ti?n","- Tìm ki?m thông tin, ti?p c?n các khách hàng ti?m nang, - Tu v?n, gi?i thích cho khách hàng v? d?ch v? Internet và d?ch v? Truy?n Hình FPT do FPT Telecom dang cung c?p, - Ðàm phán thuong lu?ng, th?c hi?n các th? t?c ký k?t h?p d?ng v?i khách hàng., - M?c luong và thu nh?p h?p d?n, - Ch? d? khen thu?ng và phúc l?i phong phú, - Môi tru?ng làm vi?c thân thi?n, chuyên nghi?p, - Co h?i dào t?o, phát tri?n và thang ti?n, - Các ch? d? theo Lu?t lao d?ng hi?n hành và các phúc l?i theo quy d?nh c?a Công ty (ba?o hiê?m FPT Care,…).","- Nam/ N?, T?t nghi?p THPT tr? lên, t? 20 – 30 tu?i, - Ðam mê kinh doanh, có ki?n th?c co b?n v? Công ngh? thông tin, m?ng Internet, - Có k? nang giao ti?p, dàm phán và thuy?t ph?c, - Nhanh nh?n, linh ho?t, gi?i quy?t tình hu?ng t?t, - Ngo?i hình d? nhìn, không nói ng?ng, nói l?p, - Ch?u du?c áp l?c cao trong công vi?c, - Các ?ng viên dã có kinh nghi?m bán hàng ho?c t?ng làm qua các công vi?c nhu: ti?p th?, nghiên c?u th? tru?ng, ph?ng v?n viên…là m?t l?i th?.",Long An,"Huy?n Ð?c Hòa,",CareerLink
careerlink15,https://www.careerlink.vn//tim-viec-lam/urgent-nhan-vien-tap-vu/2990290?source=site,Urgent - Nhân Viên Tạp Vụ,ADAMO HOTEL YÊN MỸ,https://www.careerlink.vn//viec-lam-cua/adamo-hotel-yen-my/377180,2024-11-06 12:11:27.647,2024-12-07 12:11:27.647,0.00,0,Nhân viên,Dịch vụ khách hàng,"Dịch vụ khách hàng, Khách sạn",,"- Th?c hi?n phân công công vi?c t?p v?, - Chi ti?t công vi?c trao d?i c? th? khi ph?ng v?n.","- Uu tiên ?ng viên có kinh nghi?m ? v? trí tuong duong., - Chi ti?t yêu c?u du?c trao d?i khi d?n ph?ng v?n tr?c ti?p.",Hưng Yên,"Huy?n Yên M?,",CareerLink
careerlink16,https://www.careerlink.vn//tim-viec-lam/chuyen-vien-nhan-su-tuyen-dung/2990231?source=site,Chuyên Viên Nhân Sự Tuyển Dụng,SUNNY OPTICAL TECHNOLOGY CO.LTP,https://www.careerlink.vn//viec-lam-cua/sunny-optical-technology-co.ltp/381213,2024-11-06 12:11:30.467,2024-12-07 12:11:30.467,660.00,0,Nhân viên,Thư ký / Hành chánh,"Thư ký / Hành chánh, Nhân sự, Biên phiên dịch / Thông dịch viên","Ðóng b?o hi?m m?c cao, theo quy d?nh. Xét tang luong d?nh k?. Co h?i dào t?o nghi?p v? chuyên sâu. Môi tru?ng làm vi?c chuyên nghi?p, thân thi?n","- Tham gia vào quá trình tuy?n d?ng nhân s? cho công ty, bao g?m dang tin tuy?n d?ng, sàng l?c h? so, ph?ng v?n ?ng viên, - Xây d?ng và duy trì các chính sách nhân s?, quy trình làm vi?c trong công ty, - Qu?n lý h? so nhân viên, theo dõi ch?m công, tính luong và các ch? d? phúc l?i, - T? ch?c các ho?t d?ng dào t?o, phát tri?n ngu?n nhân l?c, - H? tr? gi?i quy?t các v?n d? liên quan d?n quan h? lao d?ng, - Tham gia vào vi?c xây d?ng van hóa công ty và t?o môi tru?ng làm vi?c tích c?c, - Th?c hi?n các báo cáo nhân s? d?nh k? và theo yêu c?u c?a c?p trên.","- Uu tiên sinh viên t?t nghi?p chuyên ngành ti?ng trung m?i ra tru?ng, - ?ng viên chua có kinh nghi?m s? du?c dào t?o., - Ti?ng trung 4 k? nang giao ti?p luu loát, - Có trách nhi?m v?i công vi?c.",Nghệ An,"Huy?n Nghi L?c,",CareerLink
careerlink17,https://www.careerlink.vn//tim-viec-lam/winmart-cua-hang-truong_tp.-bao-loc/2990218?source=site,[WinMart+] Cửa Hàng Trưởng_TP. Bảo Lộc,CÔNG TY CỔ PHẦN DỊCH VỤ THƯƠNG MẠI TỔNG HỢP WINCOMMERCE,https://www.careerlink.vn//viec-lam-cua/cong-ty-co-phan-dich-vu-thuong-mai-tong-hop-wincommerce/372223,2024-11-06 12:11:31.567,2024-12-07 12:11:31.567,460.00,1,Trưởng nhóm / Giám sát,Dịch vụ khách hàng,"Dịch vụ khách hàng, Bán hàng / Kinh doanh","Thu?ng luong tháng 13, Thu?ng KPIs hàng tháng/nam. Ðu?c hu?ng ch? d? BHYT, BHXH, BHTN theo quy d?nh.. Khám s?c kh?e hàng nam, B?o hi?m s?c kh?e nâng cao. Ðu?c dào t?o và có l? trình thang ti?n lên nh?ng v? trí cao hon","-, làm vi?c t?i c?a hàng g?m dào t?o, s?p x?p l?ch làm vi?c, ki?m tra công vi?c, dánh giá nang l?c, gi?i quy?t xung d?t…, -, (doanh thu, top sales, t? l? hàng hu?, hàng c?n date, h?t date, hàng t?n kho,…). Ð?t hàng, qu?n lý và di?u ph?i hàng hóa, liên h? v?i nhà cung c?p d? d?i tr? hàng khi c?n thi?t, nh?n hàng & Tranfer hàng gi?a các c?a hàng khi c?n., -, t?n kho, theo dõi và d?m b?o vi?c ghi nh?n s? li?u hàng hóa nh?p, xu?t t?i c?a hàng dúng th?i di?m nh?p xu?t và tính chính xác c?a vi?c ghi nh?n s? li?u. Xây d?ng phuong án gi?m thi?u th?t thoát hàng hóa t?i c?a hàng., -, c?a hàng g?m theo dõi, ki?m tra, phân tích & xác d?nh các lý do tang gi?m doanh s?, xác d?nh các phuong pháp tang doanh s? t?i c?a hàng., -, . Ph?i h?p v?i phòng Marketing và các phòng ban khác d? d?m b?o ho?t d?ng t?i c?a hàng du?c thu?n l?i., - Ð?m b?o nhân viên luôn ph?c v? t?t v?i d?ch v? và gi?i quy?t t?t nh?ng khi?u n?i c?a khách hàng.",,Lâm Đồng,"Thành ph? B?o L?c,",CareerLink
