id,address,url,title,company_name,company_url,time_update,time_expire,salary,exp,job_level,group_job,job_type,benefit,job_des,job_req,city,web,EcoRegion,Region
tcv0,,https://www.topcv.vn/brand/ctycpdatxanhmiennam/tuyen-dung/nhan-vien-tu-van-can-ho-kinh-doanh-bat-dong-san-ho-tro-data-marketing-khong-yeu-cau-kinh-nghiem-luong-cung-9tr-30tr-hoa-hong-50-100tr-thuong-phong-van-di-lam-ngay-j1226427.html?ta_source=JobSearchList_LinkDetail&u_sr_id=tJfCD3egqTiYgfxGsMVBEkEvhnGntIoy2zMPBiZd_1731073379,,,,2024-11-08 0:00,,2600,0,Nhân viên,Not Show,Not Show,,,,,TopCV,,
tcv1,"- Hà Nội: số 12A- TT8, Khu đô thị Foresa 3, Xuân Phương, Nam Từ Liêm",https://www.topcv.vn/viec-lam/ke-toan-tong-hop-tu-2-nam-kinh-nghiem-tai-nam-tu-liem-ha-noi-thu-nhap-hap-dan-di-lam-ngay/1528984.html?ta_source=JobSearchList_LinkDetail&u_sr_id=tJfCD3egqTiYgfxGsMVBEkEvhnGntIoy2zMPBiZd_1731073379,Kế Toán Tổng Hợp,Công ty cổ phần dược thảo tinh hoa- Herbest,https://www.topcv.vn/cong-ty/cong-ty-co-phan-duoc-thao-tinh-hoa-herbest/94758.html,2024-11-08 0:00,2024-11-08 0:00,400,2,Nhân viên,Kế toán/Kiểm toán/Thuế,"Kế toán/Kiểm toán/Thuế, Kế toán, Kế toán tổng hợp",,,,Ha Noi,TopCV,,
tcv2,"- Hà Nội: (Học Viện Nông Nghiệp) Căn TT13-07, ngõ 35, phố Cửu Việt, Thị Trấn Trâu Quỳ, Gia Lâm",https://www.topcv.vn/viec-lam/nhan-vien-kinh-doanh-sales-nhan-vien-tu-van-thu-nhap-upto-25-trieu-khong-yeu-cau-kinh-nghiem/1517357.html?ta_source=JobSearchList_LinkDetail&u_sr_id=tJfCD3egqTiYgfxGsMVBEkEvhnGntIoy2zMPBiZd_1731073379,Nhân Viên Tư Vấn,CÔNG TY CỔ PHẦN HLC HÀ NỘI,https://www.topcv.vn/cong-ty/cong-ty-co-phan-hlc-ha-noi/200209.html,2024-11-08 0:00,2024-11-08 0:00,1000,0,Nhân viên,Năng lượng/Môi trường/Nông nghiệp,"Năng lượng/Môi trường/Nông nghiệp, Nông/Lâm/Ngư nghiệp, Chuyên môn Nông/Lâm/Ngư nghiệp khác",,,"- Tốt nghiệp Đại học chuyên ngành Nông nghiệp, Trồng trọt, Công nghệ sinh học hoặc các ngành nghề liên quan., - Đam mê công việc, nhiệt tình, hoà đồng",Ha Noi & 2 noi khac,TopCV,,
tcv3,"- Hà Nội: Lê Đôn Complex, Số 20-21 Lô A, KĐTM Đại Kim, Định Công, Hoàng Mai",https://www.topcv.vn/viec-lam/truong-nhom-tiktok-ads-luong-20-30-trieu/1524894.html?ta_source=JobSearchList_LinkDetail&u_sr_id=tJfCD3egqTiYgfxGsMVBEkEvhnGntIoy2zMPBiZd_1731073379,Trưởng Nhóm,Công ty TNHH BUMAS,https://www.topcv.vn/cong-ty/cong-ty-tnhh-bumas/91978.html,2024-11-08 0:00,2024-11-08 0:00,1000,1,Trưởng nhóm,Marketing/PR/Quảng cáo,"Marketing/PR/Quảng cáo, Digital Marketing, Facebook Ads",,,,Ha Noi,TopCV,,
tcv4,"- Hà Nội: 57.LouisXII - LK45, Khu đô thị mới Hoàng Văn Thụ, Phường Yên Sở, Hoàng Mai",https://www.topcv.vn/viec-lam/nhan-vien-tu-van-moi-truong-luong-tu-10-trieu-tai-ha-noi/1390677.html?ta_source=JobSearchList_LinkDetail&u_sr_id=tJfCD3egqTiYgfxGsMVBEkEvhnGntIoy2zMPBiZd_1731073379,Nhân Viên Tư Vấn,CÔNG TY TNHH MÁY VÀ THIẾT BỊ CÔNG NGHIỆP HOÁ CHẤT - MÔI TRƯỜNG MECIE,https://www.topcv.vn/cong-ty/cong-ty-tnhh-may-va-thiet-bi-cong-nghiep-hoa-chat-moi-truong-mecie/112664.html,2024-11-08 0:00,2024-11-08 0:00,400,1,Nhân viên,Kinh doanh/Bán hàng,"Kinh doanh/Bán hàng, Sales Kỹ thuật (Sales Engineer), Sales Kỹ thuật khác",,,,Ha Noi,TopCV,,
tcv5,"- Hồ Chí Minh: Phú Mỹ Hưng, Quận 7",https://www.topcv.vn/viec-lam/chuyen-vien-ke-toan-vi-dien-tu-biet-tieng-han-thu-nhap-den-30m-tai-quan-7/1527813.html?ta_source=JobSearchList_LinkDetail&u_sr_id=tJfCD3egqTiYgfxGsMVBEkEvhnGntIoy2zMPBiZd_1731073379,Chuyên Viên Kế Toán,CÔNG TY TNHH PAYDA VN,https://www.topcv.vn/cong-ty/cong-ty-tnhh-payda-vn/199780.html,2024-11-08 0:00,2024-11-08 0:00,1040,2,Nhân viên,Kế toán/Kiểm toán/Thuế,"Kế toán/Kiểm toán/Thuế, Kế toán, Kế toán tài chính",,,,Ho Chi Minh,TopCV,,
tcv6,#NAME?,https://www.topcv.vn/viec-lam/pho-phong-kiem-tra-chat-luong-manager-qc-nganh-duoc-duoc-pham-tai-lam-dong-tieng-anh-thanh-thao/1488780.html?ta_source=JobSearchList_LinkDetail&u_sr_id=tJfCD3egqTiYgfxGsMVBEkEvhnGntIoy2zMPBiZd_1731073379,QC,CÔNG TY CỔ PHẦN CÔNG NGHỆ SINH HỌC DƯỢC NANOGEN,https://www.topcv.vn/cong-ty/cong-ty-co-phan-cong-nghe-sinh-hoc-duoc-nanogen/163538.html,2024-11-08 0:00,2024-11-08 0:00,0,3,Trưởng/Phó phòng,Dược/Y tế/Sức khoẻ/Công nghệ sinh học,"Dược/Y tế/Sức khoẻ/Công nghệ sinh học, Dược phẩm/Công nghệ sinh học, Chuyên môn Dược phẩm/Công nghệ sinh học khác","- Thu nhập hấp dẫn tương xứng với năng lực của ứng viên (thỏa thuận khi phỏng vấn). - Nghỉ thứ 7 và chủ nhật. - Làm việc trong môi trường chuyên nghiệp, thân thiện. - Lương tháng 13. - Chế độ phúc lợi theo quy định chung của công ty","- Quản lý hoạt động bộ phận Kiểm tra chât lượng (QC) theo tiêu chuẩn GMP, GLP (WHO và EU-GMP), -   Làm việc trong công ty sản xuất dược phẩm / sản xuất thuốc tiêm / dịch truyền., -  Có kiến thức sâu sắc về GLP, - Đánh giá nội bộ.","- Tốt nghiệp Đại học chuyên ngành dược, hóa học, sinh học..., - Ít nhất 03 năm kinh nghiệm ở bộ phận QC và 03 năm cấp quản lý, - Nắm vững các quy định, chính sách của pháp luật và của Công ty về nhiệm vụ được giao., - Có hiểu biết về nguyên tắc cơ chế quản lý chất lượng, - Nắm được cơ cấu tổ chức, chức năng, nhiệm vụ của Công ty và các đơn vị trực thuộc, - Có kỹ năng tổng hợp, xây dựng các kế hoạch, báo cáo, - Sử dụng thành thạo máy móc thiết bị chuyên ngành kiểm tra chất lượng., - Có kỹ năng đào tạo",Lam Dong,TopCV,,
tcv7,#NAME?,https://www.topcv.vn/viec-lam/tro-ly-cua-hang-ga-ran-popeyes-thu-nhap-tu-8-10-trieu-thang/1520363.html?ta_source=JobSearchList_LinkDetail&u_sr_id=tJfCD3egqTiYgfxGsMVBEkEvhnGntIoy2zMPBiZd_1731073379,Trợ Lý Cửa Hàng,CÔNG TY TNHH DỊCH VỤ THỰC PHẨM VÀ GIẢI KHÁT VIỆT NAM (VFBS),https://www.topcv.vn/cong-ty/cong-ty-tnhh-dich-vu-thuc-pham-va-giai-khat-viet-nam-vfbs/159555.html,2024-11-08 0:00,2024-11-08 0:00,360,1,Quản lý / Giám sát,Nhà hàng/Khách sạn/Du lịch,"Nhà hàng/Khách sạn/Du lịch, Nhà hàng/Dịch vụ ăn uống, Quản lý nhà hàng","- Mức thu nhập hấp dẫn 8 - 10.000.000đ + thưởng doanh số + incharge cửa hàng + phụ cấp ăn ca, điện thoại. - Môi trường làm việc năng động. - Lộ trình thăng tiến rõ ràng (từ 3-6 tháng test năng lực). - Chế độ BHXH, BHYT đầy đủ, tham gia các khóa đào tạo kỹ năng / chuyên môn -. - Thưởng lễ, tết, trung thu, tháng lương 13, teambuilding....","- Order hàng hoá, cân đối và kiểm soát hàng hoá tại cửa hàng, - Tiếp nhận hàng hoá, công cụ dụng cụ và đánh giá chất lượng, - Vận hành ca, - Phỏng vấn, đào tạo nhân viên trong cửa hàng, - Tiếp nhận xử lý các vấn đề phát sinh trong ca làm việc, giải đáp thắc mắc khách hàng, - Làm cáo cáo tuần / tháng/ quý cho CHT","- Hiểu biết về ngành thực phẩm / nhà hàng, - Kỹ năng quản lý tốt, học hỏi nhanh., - Có khả năng làm việc theo nhóm, - Chăm chỉ, trung thực, có trách nhiệm trong công việc., - Lịch làm việc linh hoạt.",Ha Noi,TopCV,,
tcv8,#NAME?,https://www.topcv.vn/viec-lam/trinh-duoc-vien-thau-etc-lao-cai/1517974.html?ta_source=JobSearchList_LinkDetail&u_sr_id=Jgt11snWhFo5mJ7is9GNDKT0dUIPvTccuwh0ryeJ_1731073398,Trình Dược Viên,CÔNG TY TNHH DKSH VIỆT NAM,https://www.topcv.vn/cong-ty/cong-ty-tnhh-dksh-viet-nam/124904.html,2024-11-08 0:00,2024-11-08 0:00,0,2,Nhân viên,Kinh doanh/Bán hàng,"Kinh doanh/Bán hàng, Dược/Y tế/Sức khoẻ/Công nghệ sinh học, Sales Dược/Y tế/Sức khoẻ/Làm đẹp, Trình dược viên",,,,Lao Cai,TopCV,,
tcv9,"- Hà Nội: Toà Ocean Park số 1 Đào Duy Anh, Đống Đa",https://www.topcv.vn/viec-lam/nhan-vien-giao-nhan-xuat-nhap-khau-tai-dong-da-ha-noi-luong-co-ban-15-trieu-thang-thuong-biet-tieng-nhat/1527177.html?ta_source=JobSearchList_LinkDetail&u_sr_id=Jgt11snWhFo5mJ7is9GNDKT0dUIPvTccuwh0ryeJ_1731073398,Nhân Viên Giao Nhận Xuất Nhập Khẩu,CÔNG TY TNHH NISSIN LOGISTICS (VN),https://www.topcv.vn/cong-ty/cong-ty-tnhh-nissin-logistics-vn/100668.html,2024-11-08 0:00,2024-11-08 0:00,460,1,Nhân viên,Logistics/Thu mua/Kho/Tài xế,"Logistics/Thu mua/Kho/Tài xế, Logistics/Vận tải, Chuyên môn Xuất nhập khẩu/Logistics",,,,Ha Noi,TopCV,,
